title;jobPost
Human resources;Job Title: ass hr manager Description:  The Assypriotis Hotel Group, which is found, is seeking to hire Ass Hr Manager TEI /HEI with a heading in Finance in Tourism or Business Administration. Necessary? Service in a similar position of ass hr manager of a large hotel unit. Very good knowledge and experience in using the Epsilon payroll program. Very good knowledge and use of the ERGANI information system. Excellent knowledge of English. Excellent knowledge and fluency in the creation and use of its files? Great communication. Group spirit with the aim of cultivating staff confidence with hotel management and group management. Duties: Management and implementation of recruitment - withdrawal. Collection and processing data to control the productivity of the sections? Checking staff in the presence cards. Participation in the collection and processing of data to export payroll. Interested parties can send a resume with recent photo to Fax: 22420 20026 or through the link: 
Lawyer;"Job Title: Lawyer Description: ""BALLAS, PELEKANOS & ASSOCIATES SA"" calls for two (2) associates of lawyers, with at least 5 years proven service in industrial property, in particular in the fields: a. Signs and Designs. Patent and Certificates of Model of Utilities of Standard and Subsequent Qualifications: Degree in Greek or foreign Law School and a Greek Bar Association's license, Very good experience of administrative and/or civil litigation , excellent oral and written knowledge of English, high level of communication and presentations in Greek and English, integrity and reliability, teamwork capacity and performance under pressure, initiative, and thought detailed, rational and original, /Under qualifications: Postgraduate Degree Degree Degreements or Alien (preferably English -speaking) University in Industrial Property or, in general, mental property, knowledge of additional foreign languages. Group, biography in English, copies of qualifications, evidence of a Greek Bar Association, available scientific writing samples (such as documents, decisions, contracts, scientific publications, etc.) and letters available. Anna Duma / HR Dept. Contact Tone: 210 22 09 258, e-mail: Selecting `` application '."
Health Services;Job Title: Nurses/health carers Description: * Degree in DE(EPAS, EPAL, TEE, Hospitals, IEK) * Knowledge of German desirable, * Confidence, formality, flexibility, teamwork
Health Services;Job Title: spa therapist Description: 4 -star hotel in Xylokastro Corinth seeks spa therapist for permanent employment.
Health Services;Job Title: spa therapist Description: 4 -star hotel in Xylokastro Corinth, asks to hire Spa Therapist for permanent employment.
Health Services;Job Title: Nursery for a 5 -month -old child, Faliro Description: A 5 -month -old baby career is required for two eight hours a week.
Health Services;Job Title: Nursery, Voula Description: A family with a newborn baby who lives in the Voula area is looking for a nurseries/nursery or lady with experience in infants aged 35-45 for care and guarding (possibly evening hours after consultation), and for helping the baby.
Health Services;Job Title: Nurses with experience in cardiology section - west Description: A large group of medical companies are requested for facilities in the western suburbs with experience in a cardiology department (CODE INK 19) Qualifications: Nursing Degree Relative Experience at least 1 year Developed Communication Abilitylevel work environment.
Health Services;Job Title: nurses with experience in neurological section - west Description: A large group of medical companies are requested for facilities in the western suburbs with experience in a neurological department (Code: Inn 19) Qualifications: Nursing Degree Relative Experience at least 1 year Developed Communication Abilitya high -level work environment.
Health Services;Job Title: nurses with experience in gastrointestinal tract Description: A large group of medical companies are requested for facilities in the western suburbs with experience in gastrointestinal tract (Code: Ine 19) Qualifications: Nursing Degree Relative Experience at least 1 year Developed Communication Abilitya high -level work environment.
Health Services;Job Title: nurse / assistant dentist Description: A nurse / assistant dentist in a dentist in downtown Thessaloniki.full -time job.
Health Services;Job Title: Nurse / Nurse in Elderly Care Unit (St. Basil) Description: A nurse / nurse is requested by an elderly care unit in the Holy Kingdom of the Municipality of Lagadas. full -time job.
Health Services;Job Title: Nurse - Secretarial Support Description: A nurse in a cardiology clinic in Kalamaria is requested. part -time or full -time job (afternoon hours).
Health Services;Job Title: nurse Description: A nurse in a plastic surgeon is requested in Kifissia, Attica.Ability to complete or part -time.
Health Services;Job Title: nurse Description: A Nurse in a Plastic Surgeon Medical Center in Kifissia Attica. Ability to complete or part -time.
Health Services;Job Title: Nurse/TEI TEI Description: A nurse is requested at a Mental Health Center in Kavala. full -time job. Responsibilities: Shift Nurse with Nursing Obligations
Health Services;Job Title: nurse Description: A nurse is requested, with past service, for full -time dermatological clinic.New World Workshop: Full employment
Health Services;Job Title: nurse/ nurse Description: A nurse/ nurse is requested by a Home Nursing company based in Thessaloniki and under the name 'Nursing Support'.Necessary Qualifications: Holding a Driving License.Additional Qualifications: Ownership of bicyclists and insurance.
Health Services;Job Title: Nurse / Nurse in Elderly Care Unit (St. Basil) Description: A nurser / nurse is requested by an elderly care unit in Saint Kingdom of the Municipality of Lagada. full -time job.
Health Services;Job Title: Nursery from a family in downtown Thessaloniki for permanent employment Description: A nursergator requested by a family in downtown Thessaloniki for permanent Employment.Care is for 3 children, not housework.necessary Service in corresponding position and recommendations by previous employers. Hours: 15: 00-21: 00 Monday to Friday.Salary: 500 €.sending resumes with a photo.
Health Services;Job Title: Nursery from a family in downtown Thessaloniki for permanent employment Description: A nursergator requested by a family in downtown Thessaloniki for permanent Employment.Care is for 3 children, not housework.necessary Service in corresponding position and recommendations by previous employers. Hours: 15: 00-21: 00 Monday to Friday.Salary: 500 €.sending resumes with a photo.
Health Services;Job Title: nursery Description: A nursery is requested at a kindergarten in Thessaloniki. full -time job.
Health Services;Job Title: nursery Description: A nursery is requested at a kindergarten in Thessaloniki.full -time job.
Health Services;Job Title: nursery Description: A Nursery Nursery School is requested in Kato Patisia Attica. part -time job.
Health Services;Job Title: Nursery/Kindergarten Description: A nursery/kindergarten in infancy, 8 -hour employment, at least 3 years of service are requested.Necessary Transportation.
Health Services;Job Title: Nursery/Kindergarten Description: A nursery/kindergarten in infancy, 8 -hour employment, at least 3 years of service are requested.Necessary Transportation.
Health Services;Job Title: nurse Description: A nurses are requested for home service by a supply company Medical Services in Thessaloniki. full -time job.
Health Services;Job Title: nurse Description: A nurses are requested for home service by a supply company Medical Services in Thessaloniki. full -time job.
Health Services;"Job Title: A assistant pharmacist in Glyfada Description: A pharmacist assistant in Glyfada is requested with continuous hours.Send your resume by clicking on the ""Apply"" tab or ""I am interested in this position"""
Health Services;Job Title: pharmacist Description: A pharmacist for exclusive employment in psychiatric clinic is requested in eastern Thessaloniki (Perea). full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist for full -time pharmacy in Piraeus is requested. Good knowledge of computer handling and using an online. Good knowledge of electronic prescription and execution of recipes. Good knowledge of English. Communication and customer service comfort. Additional useful qualifications are teamwork, professionalism and consistency. consent).
Health Services;Job Title: pharmacist Description: A pharmacist from a pharmacy is requested in the center of Thessaloniki. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist from a pharmacy is requested in the center of Thessaloniki. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist from a psychiatric clinic in the northern suburbs is requested Attica. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist from a psychiatric clinic is requested in the northern suburbs of Attica. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist is requested at a pharmacy in Evosmos Thessaloniki. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist is requested at a pharmacy in Kalamata. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist is requested at a pharmacy in Kato Ilioupoli, Thessaloniki. full -time job.
Health Services;Job Title: pharmacist Description: A pharmacist is requested at a pharmacy in Pagrati, Attica. full -time job.
Health Services;Job Title: pharmacist / assistant pharmacist Description: A pharmacist or pharmacy assistant is requested at a pharmacy in Perea Thessaloniki. full -time job.
Health Services;Job Title: nurse/secretary Description: A private nurse in Piraeus is requested by a nurse/nurse with good computer knowledge as it will include secretarial support and custody of the site.Excellent work environment and long -term cooperation is offered.Send resumes to e-mail medicalcenter.sec@gmail.com
Health Services;Job Title: Nurses -Tues for Medical Center - Athens Description: Adecco HR is the largest human resources company in the world and certified in Greece, according to the international standard ISO 9001: 2015, in the fields of finding and selection of staff and temporary employment. Adecco on behalf of its client, International Medical Group in downtown Athens, searches for two (1) persons for staffing the following seats: Nurses for Secretariat of Press Description:  Patients reception Call Center Call Center Support Blood Blood Blood Works Candidate Profile Practice: TEI graduates / HEI Nursing Service In Blood Blood Necessary Very good H / Y Knowledge and MS Office Good Knowledge , please click here: After collecting and evaluating the resumes we will contact the candidates who meet the requirements of the position to be staffed to set an interview meeting. For more jobs visit our site and enter your resume at our base. To register your resume at the base of Adecco it is recommended to use Google Chrome.
Health Services;Job Title: Nurses for Medical Center - Athens Description: Adecco HR is the largest human resources company in the world and certified in Greece, according to the international standard ISO 9001: 2015, in the fields of finding and selection of staff and temporary employment. Adecco, on behalf of its client, International Medical Group in downtown Athens, searches for two (1) persons for staffing the following posts: Nurses/TRIES for Secretariat of Press Description:  Patients Reception Candidate Profile Practice: TEI graduates/ HEIs Nursing Service in Blood Blood Necessary Very good H/ Y Knowledge and MS Office Good Knowledge of English Organizations and Responsibility, Time Manage Submit a resume please click here: After collecting and evaluating the biographical notes we will contact the candidates who meet the requirements of the position for staffing to set an interview meeting. For more jobs visit our site and enter your resume at our base. To register your resume at the base of Adecco it is recommended to use Google Chrome.
Health Services;Job Title: Nurses/Risans for Secretariat of Medical Center Description: Adecco HR is the largest human resources service company worldwide and certified in Greece, according to the international ISO standard 9001: 2015, in the fields of finding and selection of staff and temporary employment. Adecco, on behalf of its client, International Medical Group In downtown Athens, he searches for two (1) people to staff the following positions: Nurses/Risans for Secretariat of Medical Center position description patient reception call center management Office support blood sampling in the area of ​​the clinic
Health Services;Job Title: Nurses / Nurses to work in Spanish cities Description: Adecco HR is the largest human service company potential worldwide and certified in Greece, according to international ISO 9001: 2015, in the fields of finding and selection of staff and Temporary employment. Adecco, on behalf of its client, large group Companies active in the health sector, seeks five (5) people For staffing the following posts: Nurses / Nurses to work in Spanish cities position description Patient Nursing Care / Care for Therapeutics and medication Assistance to doctors while visiting the chambers care for the proper functioning of the clinic, supply of drugs and devices
Health Services;Job Title: pharmacist Description: Adjustment Description:  Pharmanos Pharmacist is requested by Pharmacist Ants: Satisfactory Salary Insurance Ideal Working Conditions
Health Services;Job Title: Spa Therapist - Heraklion Crete Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4 and 5 -star SPAS SPAS SPAS Management Company in Greece and abroad, wishes to hire Heraklion Crete Spa Therapist Description of Differences: Provision of beauty and wellness services Face / Body) Customer Service Required: And professionalism The company offers: Stable monthly earnings, insurance and bonus full training in all company service protocols of pleasant working environment Accommodation and half board Opportunities of continuous professional development. Interested parties can send their resume with recent Photo.
Health Services;Job Title: Spa Therapist - Rhodes Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* and abroad Spas Management Services Company in Greece and abroad, wishes to hire Rhodes Spa Therapist Description Division: Provision of beauty and wellness services (facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols of pleasant Work Environment Accommodation and Half -Film Opportunities of Continuous Professional Development Ability to 12 months of work the photograph.
Health Services;Job Title: Spa Therapist - Rhodes Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* and abroad Spas Management Services Company in Greece and abroad, wishes to hire Rhodes Spa Therapist Description Division: Provision of beauty and wellness services (facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols of pleasant Work Environment Accommodation and Half -Film Opportunities of Continuous Professional Development Ability to 12 months of work the photograph.
Health Services;Job Title: Spa Therapist - Rhodes Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* and abroad Spas Management Services Company in Greece and abroad, wishes to hire Rhodes Spa Therapist Description Division: Provision of beauty and wellness services (facilities Body, Massage) Customer Service, High level of Service Ensure Required: Owner of a degree in the corresponding school Excellent knowledge of English Language / Knowledge of addition : Fixed monthly earnings, insurance and bonus Full training in all the company's service protocols of pleasant Work Environment Accommodation and Half -Film Opportunities of Continuous Professional Development Ability to 12 months of work the photograph.
Health Services;Job Title: Spa Therapist / Seller -MRA - Prefecture of Rethymnon Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS Management and Abroad Management Services Company, wishes to hire the Prefecture of Rethymnon Spa Therapist / Seller -TRA Wellness (Body Treatments Factions Massage Manicure / Pedicure Massage) Customer Service / High Level Service Promotion of Services / Products Required: Service in corresponding position Skills: Pleasant personality Excellent communication ability to immediately serve customers and increasing sales team spirit careful professional look flexibility, consistency and professionalism Well the Company's Service Protocols Pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous vocational development Curriculum can send their resume with a recent photo.
Health Services;Job Title: Spa Therapist / Seller -MRA - Prefecture of Rethymnon Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS Management and Abroad Management Services Company, wishes to hire the Prefecture of Rethymnon Spa Therapist / Seller -TRA Wellness (Body Treatments Factions Massage Manicure / Pedicure Massage) Customer Service / High Level Service Promotion of Services / Products Required: Service in corresponding position Skills: Pleasant personality Excellent communication ability to immediately serve customers and increasing sales team spirit careful professional look flexibility, consistency and professionalism Well the Company's Service Protocols Pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous vocational development Curriculum can send their resume with a recent photo.
Health Services;Job Title: Spa Therapist - Lasithi Crete Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS Management and Management Services Company in Greece and abroad, wishes to hire directly to Lasithi Crete Spa Therapist Description of Differences: Providing beauty and wellness services Facial / Body Cares) Customer Service Required: Consistency and Professionalism The Company offers: Stable monthly earnings, insurance and bonus full training in all Company Services Protocols Pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous Vocational Development CV Optography.
Health Services;Job Title: Spa Therapist - Lasithi Crete Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS Management and Management Services Company in Greece and abroad, wishes to hire directly to Lasithi Crete Spa Therapist Description of Differences: Providing beauty and wellness services Facial / Body Cares) Customer Service Required: Consistency and Professionalism The Company offers: Stable monthly earnings, insurance and bonus full training in all Company Services Protocols Pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous Vocational Development CV Optography.
Health Services;Job Title: Spa Therapist - Lasithi Crete Description: AEGEO SPAS - Leading Spa Management Solutions, the largest 4* and 5* SPAS SPAS Management and Management Services Company in Greece and abroad, wishes to hire directly to Lasithi Crete Spa Therapist Description of Differences: Providing beauty and wellness services Facial / Body Cares) Customer Service Required: Consistency and Professionalism The Company offers: Stable monthly earnings, insurance and bonus full training in all Company Services Protocols Pleasant Work Environment Accommodation and Half Boarding Opportunities of continuous Vocational Development CV Optography.
